itr.,error,수정전Date&Time,년,월,일,시각,시간,Date&Time,수위(m),유량(㎥/sec),해발표고,경주ASOS,토함산AWS,Unnamed: 14,시작,45852.375,끝,45994.958333333336,Unnamed: 19,142.58333333333576,28.516666666667152
0,09:00:00,2025-07-14,2025,7,14,9,2025-07-14 09,2025-07-14 09:00:00,3.26,12.202,8.0,,0.0,,,,,,,,
1,10:00:00,2025-07-14,2025,7,14,10,2025-07-14 10,2025-07-14 10:00:00,3.24,11.35,7.98,,0.0,,,,,,,,
2,11:00:00,2025-07-14,2025,7,14,11,2025-07-14 11,2025-07-14 11:00:00,3.23,10.929,7.97,,0.0,,,,,,,,
3,12:00:00,2025-07-14,2025,7,14,12,2025-07-14 12,2025-07-14 12:00:00,3.21,10.096,7.95,,0.0,,,,,,,,
4,13:00:00,2025-07-14,2025,7,14,13,2025-07-14 13,2025-07-14 13:00:00,3.2,9.685,7.94,,0.5,,,,,,,,
5,14:00:00,2025-07-14,2025,7,14,14,2025-07-14 14,2025-07-14 14:00:00,3.18,8.875,7.92,,0.0,,,,,,,,
6,15:00:00,2025-07-14,2025,7,14,15,2025-07-14 15,2025-07-14 15:00:00,3.17,8.475,7.91,,0.0,,,,,,,,
7,16:00:00,2025-07-14,2025,7,14,16,2025-07-14 16,2025-07-14 16:00:00,3.16,8.079,7.9,,0.0,,,,,,,,
8,17:00:00,2025-07-14,2025,7,14,17,2025-07-14 17,2025-07-14 17:00:00,3.15,7.688,7.89,,0.0,,,,,,,,
9,18:00:00,2025-07-14,2025,7,14,18,2025-07-14 18,2025-07-14 18:00:00,3.13,6.917,7.87,,0.0,,,,,,,,
10,19:00:00,2025-07-14,2025,7,14,19,2025-07-14 19,2025-07-14 19:00:00,3.12,6.538,7.86,0.0,0.0,,,,,,,,
11,20:00:00,2025-07-14,2025,7,14,20,2025-07-14 20,2025-07-14 20:00:00,3.11,6.164,7.85,2.9,0.0,,,,,,,,
12,21:00:00,2025-07-14,2025,7,14,21,2025-07-14 21,2025-07-14 21:00:00,3.11,6.164,7.85,5.2,22.0,,,,,,,,
13,22:00:00,2025-07-14,2025,7,14,22,2025-07-14 22,2025-07-14 22:00:00,3.11,6.164,7.85,0.0,0.0,,,,,,,,
14,23:00:00,2025-07-14,2025,7,14,23,2025-07-14 23,2025-07-14 23:00:00,3.12,6.538,7.86,,0.0,,,,,,,,
15,00:00:00,2025-07-15,2025,7,15,0,2025-07-15 00,2025-07-15 00:00:00,3.13,6.917,7.87,,0.0,,,,,,,,
16,01:00:00,2025-07-15,2025,7,15,1,2025-07-15 01,2025-07-15 01:00:00,3.16,8.079,7.9,,0.0,,,,,,,,
17,02:00:00,2025-07-15,2025,7,15,2,2025-07-15 02,2025-07-15 02:00:00,3.17,8.475,7.91,,0.0,,,,,,,,
18,03:00:00,2025-07-15,2025,7,15,3,2025-07-15 03,2025-07-15 03:00:00,3.17,8.475,7.91,,0.0,,,,,,,,
19,04:00:00,2025-07-15,2025,7,15,4,2025-07-15 04,2025-07-15 04:00:00,3.16,8.079,7.9,,0.0,,,,,,,,
20,05:00:00,2025-07-15,2025,7,15,5,2025-07-15 05,2025-07-15 05:00:00,3.16,8.079,7.9,,0.0,,,,,,,,
21,06:00:00,2025-07-15,2025,7,15,6,2025-07-15 06,2025-07-15 06:00:00,3.16,8.079,7.9,,0.0,,,,,,,,
22,07:00:00,2025-07-15,2025,7,15,7,2025-07-15 07,2025-07-15 07:00:00,3.15,7.688,7.89,,0.0,,,,,,,,
23,08:00:00,2025-07-15,2025,7,15,8,2025-07-15 08,2025-07-15 08:00:00,3.15,7.688,7.89,,0.0,,,,,,,,
24,09:00:00,2025-07-15,2025,7,15,9,2025-07-15 09,2025-07-15 09:00:00,3.14,7.3,7.88,,0.0,,,,,,,,
25,10:00:00,2025-07-15,2025,7,15,10,2025-07-15 10,2025-07-15 10:00:00,3.14,7.3,7.88,,0.0,,,,,,,,
26,11:00:00,2025-07-15,2025,7,15,11,2025-07-15 11,2025-07-15 11:00:00,3.13,6.917,7.87,,0.0,,,,,,,,
27,12:00:00,2025-07-15,2025,7,15,12,2025-07-15 12,2025-07-15 12:00:00,3.13,6.917,7.87,,0.0,,,,,,,,
28,13:00:00,2025-07-15,2025,7,15,13,2025-07-15 13,2025-07-15 13:00:00,3.12,6.538,7.86,,0.0,,,,,,,,
29,14:00:00,2025-07-15,2025,7,15,14,2025-07-15 14,2025-07-15 14:00:00,3.12,6.538,7.86,,0.0,,,,,,,,
30,15:00:00,2025-07-15,2025,7,15,15,2025-07-15 15,2025-07-15 15:00:00,3.11,6.164,7.85,3.7,0.0,,,,,,,,
31,16:00:00,2025-07-15,2025,7,15,16,2025-07-15 16,2025-07-15 16:00:00,3.11,6.164,7.85,7.1,0.5,,,,,,,,
32,17:00:00,2025-07-15,2025,7,15,17,2025-07-15 17,2025-07-15 17:00:00,3.1,5.794,7.84,0.5,6.5,,,,,,,,
33,18:00:00,2025-07-15,2025,7,15,18,2025-07-15 18,2025-07-15 18:00:00,3.09,5.43,7.83,,0.0,,,,,,,,
34,19:00:00,2025-07-15,2025,7,15,19,2025-07-15 19,2025-07-15 19:00:00,3.09,5.43,7.83,,0.0,,,,,,,,
35,20:00:00,2025-07-15,2025,7,15,20,2025-07-15 20,2025-07-15 20:00:00,3.09,5.43,7.83,,0.0,,,,,,,,
36,21:00:00,2025-07-15,2025,7,15,21,2025-07-15 21,2025-07-15 21:00:00,3.1,5.794,7.84,,0.0,,,,,,,,
37,22:00:00,2025-07-15,2025,7,15,22,2025-07-15 22,2025-07-15 22:00:00,3.1,5.794,7.84,,0.0,,,,,,,,
38,23:00:00,2025-07-15,2025,7,15,23,2025-07-15 23,2025-07-15 23:00:00,3.1,5.794,7.84,,0.0,,,,,,,,
39,00:00:00,2025-07-16,2025,7,16,0,2025-07-16 00,2025-07-16 00:00:00,3.1,5.794,7.84,,0.0,,,,,,,,
40,01:00:00,2025-07-16,2025,7,16,1,2025-07-16 01,2025-07-16 01:00:00,3.09,5.43,7.83,,0.0,,,,,,,,
41,02:00:00,2025-07-16,2025,7,16,2,2025-07-16 02,2025-07-16 02:00:00,3.09,5.43,7.83,,0.0,,,,,,,,
42,03:00:00,2025-07-16,2025,7,16,3,2025-07-16 03,2025-07-16 03:00:00,3.08,5.07,7.82,,0.0,,,,,,,,
43,04:00:00,2025-07-16,2025,7,16,4,2025-07-16 04,2025-07-16 04:00:00,3.08,5.07,7.82,,0.0,,,,,,,,
44,05:00:00,2025-07-16,2025,7,16,5,2025-07-16 05,2025-07-16 05:00:00,3.07,4.716,7.81,,0.0,,,,,,,,
45,06:00:00,2025-07-16,2025,7,16,6,2025-07-16 06,2025-07-16 06:00:00,3.07,4.716,7.81,,0.0,,,,,,,,
46,07:00:00,2025-07-16,2025,7,16,7,2025-07-16 07,2025-07-16 07:00:00,3.06,4.367,7.8,,0.0,,,,,,,,
47,08:00:00,2025-07-16,2025,7,16,8,2025-07-16 08,2025-07-16 08:00:00,3.04,3.688,7.78,0.0,0.0,,,,,,,,
48,09:00:00,2025-07-16,2025,7,16,9,2025-07-16 09,2025-07-16 09:00:00,3.05,4.024,7.79,,0.0,,,,,,,,
49,10:00:00,2025-07-16,2025,7,16,10,2025-07-16 10,2025-07-16 10:00:00,3.05,4.024,7.79,,0.0,,,,,,,,
50,11:00:00,2025-07-16,2025,7,16,11,2025-07-16 11,2025-07-16 11:00:00,3.05,4.024,7.79,0.0,0.0,,,,,,,,
51,12:00:00,2025-07-16,2025,7,16,12,2025-07-16 12,2025-07-16 12:00:00,3.04,3.688,7.78,0.1,0.0,,,,,,,,
52,13:00:00,2025-07-16,2025,7,16,13,2025-07-16 13,2025-07-16 13:00:00,3.04,3.688,7.78,0.7,1.0,,,,,,,,
53,14:00:00,2025-07-16,2025,7,16,14,2025-07-16 14,2025-07-16 14:00:00,3.04,3.688,7.78,0.7,0.5,,,,,,,,
54,15:00:00,2025-07-16,2025,7,16,15,2025-07-16 15,2025-07-16 15:00:00,3.03,3.357,7.77,0.1,1.5,,,,,,,,
55,16:00:00,2025-07-16,2025,7,16,16,2025-07-16 16,2025-07-16 16:00:00,3.03,3.357,7.77,0.0,0.0,,,,,,,,
56,17:00:00,2025-07-16,2025,7,16,17,2025-07-16 17,2025-07-16 17:00:00,3.03,3.357,7.77,0.0,0.0,,,,,,,,
57,18:00:00,2025-07-16,2025,7,16,18,2025-07-16 18,2025-07-16 18:00:00,3.02,3.033,7.76,0.2,0.0,,,,,,,,
58,19:00:00,2025-07-16,2025,7,16,19,2025-07-16 19,2025-07-16 19:00:00,3.02,3.033,7.76,0.1,0.0,,,,,,,,
59,20:00:00,2025-07-16,2025,7,16,20,2025-07-16 20,2025-07-16 20:00:00,3.01,2.717,7.75,0.1,0.0,,,,,,,,
60,21:00:00,2025-07-16,2025,7,16,21,2025-07-16 21,2025-07-16 21:00:00,3.01,2.717,7.75,0.0,0.0,,,,,,,,
61,22:00:00,2025-07-16,2025,7,16,22,2025-07-16 22,2025-07-16 22:00:00,3.0,2.408,7.74,0.0,0.0,,,,,,,,
62,23:00:00,2025-07-16,2025,7,16,23,2025-07-16 23,2025-07-16 23:00:00,3.0,2.408,7.74,0.0,0.0,,,,,,,,
63,00:00:00,2025-07-17,2025,7,17,0,2025-07-17 00,2025-07-17 00:00:00,2.99,2.107,7.73,0.0,0.0,,,,,,,,
64,01:00:00,2025-07-17,2025,7,17,1,2025-07-17 01,2025-07-17 01:00:00,2.99,2.107,7.73,0.0,0.0,,,,,,,,
65,02:00:00,2025-07-17,2025,7,17,2,2025-07-17 02,2025-07-17 02:00:00,2.99,2.107,7.73,,0.0,,,,,,,,
66,03:00:00,2025-07-17,2025,7,17,3,2025-07-17 03,2025-07-17 03:00:00,2.99,2.107,7.73,,0.0,,,,,,,,
67,04:00:00,2025-07-17,2025,7,17,4,2025-07-17 04,2025-07-17 04:00:00,2.99,2.107,7.73,0.6,0.0,,,,,,,,
68,05:00:00,2025-07-17,2025,7,17,5,2025-07-17 05,2025-07-17 05:00:00,2.99,2.107,7.73,1.4,0.5,,,,,,,,
69,06:00:00,2025-07-17,2025,7,17,6,2025-07-17 06,2025-07-17 06:00:00,2.98,1.815,7.72,0.2,0.0,,,,,,,,
70,07:00:00,2025-07-17,2025,7,17,7,2025-07-17 07,2025-07-17 07:00:00,2.98,1.815,7.72,0.1,0.0,,,,,,,,
71,08:00:00,2025-07-17,2025,7,17,8,2025-07-17 08,2025-07-17 08:00:00,2.98,1.815,7.72,0.6,2.0,,,,,,,,
72,09:00:00,2025-07-17,2025,7,17,9,2025-07-17 09,2025-07-17 09:00:00,2.98,1.815,7.72,2.4,1.5,,,,,,,,
73,10:00:00,2025-07-17,2025,7,17,10,2025-07-17 10,2025-07-17 10:00:00,2.98,1.815,7.72,1.9,0.0,,,,,,,,
74,11:00:00,2025-07-17,2025,7,17,11,2025-07-17 11,2025-07-17 11:00:00,2.97,1.532,7.71,0.8,0.0,,,,,,,,
75,12:00:00,2025-07-17,2025,7,17,12,2025-07-17 12,2025-07-17 12:00:00,2.97,1.532,7.71,,0.0,,,,,,,,
76,13:00:00,2025-07-17,2025,7,17,13,2025-07-17 13,2025-07-17 13:00:00,2.97,1.532,7.71,3.1,0.5,,,,,,,,
77,14:00:00,2025-07-17,2025,7,17,14,2025-07-17 14,2025-07-17 14:00:00,2.98,1.815,7.72,8.7,6.5,,,,,,,,
78,15:00:00,2025-07-17,2025,7,17,15,2025-07-17 15,2025-07-17 15:00:00,2.98,1.815,7.72,3.0,0.5,,,,,,,,
79,16:00:00,2025-07-17,2025,7,17,16,2025-07-17 16,2025-07-17 16:00:00,2.99,2.107,7.73,8.1,3.0,,,,,,,,
80,17:00:00,2025-07-17,2025,7,17,17,2025-07-17 17,2025-07-17 17:00:00,3.0,2.408,7.74,2.8,19.0,,,,,,,,
81,18:00:00,2025-07-17,2025,7,17,18,2025-07-17 18,2025-07-17 18:00:00,3.02,3.033,7.76,4.7,12.0,,,,,,,,
82,19:00:00,2025-07-17,2025,7,17,19,2025-07-17 19,2025-07-17 19:00:00,3.06,4.367,7.8,5.5,7.5,,,,,,,,
83,20:00:00,2025-07-17,2025,7,17,20,2025-07-17 20,2025-07-17 20:00:00,3.19,9.278,7.93,4.1,0.0,,,,,,,,
84,21:00:00,2025-07-17,2025,7,17,21,2025-07-17 21,2025-07-17 21:00:00,3.4,18.501,8.14,1.0,0.0,,,,,,,,
85,22:00:00,2025-07-17,2025,7,17,22,2025-07-17 22,2025-07-17 22:00:00,3.4,18.501,8.14,0.0,0.0,,,,,,,,
86,23:00:00,2025-07-17,2025,7,17,23,2025-07-17 23,2025-07-17 23:00:00,3.37,17.106,8.11,,0.0,,,,,,,,
87,00:00:00,2025-07-18,2025,7,18,0,2025-07-18 00,2025-07-18 00:00:00,3.35,16.189,8.09,,0.0,,,,,,,,
88,01:00:00,2025-07-18,2025,7,18,1,2025-07-18 01,2025-07-18 01:00:00,3.33,15.283,8.07,,0.0,,,,,,,,
89,02:00:00,2025-07-18,2025,7,18,2,2025-07-18 02,2025-07-18 02:00:00,3.32,14.834,8.06,,0.0,,,,,,,,
90,03:00:00,2025-07-18,2025,7,18,3,2025-07-18 03,2025-07-18 03:00:00,3.31,14.388,8.05,0.4,1.0,,,,,,,,
91,04:00:00,2025-07-18,2025,7,18,4,2025-07-18 04,2025-07-18 04:00:00,3.3,13.945,8.04,0.9,0.0,,,,,,,,
92,05:00:00,2025-07-18,2025,7,18,5,2025-07-18 05,2025-07-18 05:00:00,3.29,13.505,8.03,2.6,1.0,,,,,,,,
93,06:00:00,2025-07-18,2025,7,18,6,2025-07-18 06,2025-07-18 06:00:00,3.28,13.067,8.02,1.2,1.5,,,,,,,,
94,07:00:00,2025-07-18,2025,7,18,7,2025-07-18 07,2025-07-18 07:00:00,3.28,13.067,8.02,,0.0,,,,,,,,
95,08:00:00,2025-07-18,2025,7,18,8,2025-07-18 08,2025-07-18 08:00:00,3.27,12.633,8.01,,0.0,,,,,,,,
96,09:00:00,2025-07-18,2025,7,18,9,2025-07-18 09,2025-07-18 09:00:00,3.26,12.202,8.0,,0.0,,,,,,,,
97,10:00:00,2025-07-18,2025,7,18,10,2025-07-18 10,2025-07-18 10:00:00,3.26,12.202,8.0,,0.0,,,,,,,,
98,11:00:00,2025-07-18,2025,7,18,11,2025-07-18 11,2025-07-18 11:00:00,3.25,11.774,7.99,0.0,2.0,,,,,,,,
99,12:00:00,2025-07-18,2025,7,18,12,2025-07-18 12,2025-07-18 12:00:00,3.25,11.774,7.99,0.0,0.0,,,,,,,,
100,13:00:00,2025-07-18,2025,7,18,13,2025-07-18 13,2025-07-18 13:00:00,3.24,11.35,7.98,,0.0,,,,,,,,
101,14:00:00,2025-07-18,2025,7,18,14,2025-07-18 14,2025-07-18 14:00:00,3.24,11.35,7.98,,0.0,,,,,,,,
102,15:00:00,2025-07-18,2025,7,18,15,2025-07-18 15,2025-07-18 15:00:00,3.24,11.35,7.98,,0.0,,,,,,,,
103,16:00:00,2025-07-18,2025,7,18,16,2025-07-18 16,2025-07-18 16:00:00,3.24,11.35,7.98,0.3,0.0,,,,,,,,
104,17:00:00,2025-07-18,2025,7,18,17,2025-07-18 17,2025-07-18 17:00:00,3.23,10.929,7.97,0.0,0.5,,,,,,,,
105,18:00:00,2025-07-18,2025,7,18,18,2025-07-18 18,2025-07-18 18:00:00,3.22,10.511,7.96,0.0,0.5,,,,,,,,
106,19:00:00,2025-07-18,2025,7,18,19,2025-07-18 19,2025-07-18 19:00:00,3.22,10.511,7.96,1.7,4.5,,,,,,,,
107,20:00:00,2025-07-18,2025,7,18,20,2025-07-18 20,2025-07-18 20:00:00,3.21,10.096,7.95,2.0,2.0,,,,,,,,
108,21:00:00,2025-07-18,2025,7,18,21,2025-07-18 21,2025-07-18 21:00:00,3.2,9.685,7.94,1.3,10.0,,,,,,,,
109,22:00:00,2025-07-18,2025,7,18,22,2025-07-18 22,2025-07-18 22:00:00,3.2,9.685,7.94,26.3,5.0,,,,,,,,
110,23:00:00,2025-07-18,2025,7,18,23,2025-07-18 23,2025-07-18 23:00:00,3.2,9.685,7.94,8.5,4.5,,,,,,,,
111,00:00:00,2025-07-19,2025,7,19,0,2025-07-19 00,2025-07-19 00:00:00,3.22,10.511,7.96,1.9,4.0,,,,,,,,
112,01:00:00,2025-07-19,2025,7,19,1,2025-07-19 01,2025-07-19 01:00:00,3.28,13.067,8.02,5.8,3.5,,,,,,,,
113,02:00:00,2025-07-19,2025,7,19,2,2025-07-19 02,2025-07-19 02:00:00,3.33,15.283,8.07,0.0,0.0,,,,,,,,
114,03:00:00,2025-07-19,2025,7,19,3,2025-07-19 03,2025-07-19 03:00:00,3.36,16.646,8.1,0.0,0.0,,,,,,,,
115,04:00:00,2025-07-19,2025,7,19,4,2025-07-19 04,2025-07-19 04:00:00,3.37,17.106,8.11,0.8,14.5,,,,,,,,
116,05:00:00,2025-07-19,2025,7,19,5,2025-07-19 05,2025-07-19 05:00:00,3.39,18.034,8.13,1.5,37.5,,,,,,,,
117,06:00:00,2025-07-19,2025,7,19,6,2025-07-19 06,2025-07-19 06:00:00,3.7,33.56,8.44,2.5,15.5,,,,,,,,
118,07:00:00,2025-07-19,2025,7,19,7,2025-07-19 07,2025-07-19 07:00:00,3.91,45.09,8.65,3.4,31.0,,,,,,,,
119,08:00:00,2025-07-19,2025,7,19,8,2025-07-19 08,2025-07-19 08:00:00,4.12,57.282,8.86,2.4,14.0,,,,,,,,
120,09:00:00,2025-07-19,2025,7,19,9,2025-07-19 09,2025-07-19 09:00:00,4.02,51.4,8.76,2.6,2.0,,,,,,,,
121,10:00:00,2025-07-19,2025,7,19,10,2025-07-19 10,2025-07-19 10:00:00,3.86,42.281,8.6,0.3,2.5,,,,,,,,
122,11:00:00,2025-07-19,2025,7,19,11,2025-07-19 11,2025-07-19 11:00:00,3.82,40.061,8.56,0.4,0.0,,,,,,,,
123,12:00:00,2025-07-19,2025,7,19,12,2025-07-19 12,2025-07-19 12:00:00,3.75,36.239,8.49,8.6,10.0,,,,,,,,
124,13:00:00,2025-07-19,2025,7,19,13,2025-07-19 13,2025-07-19 13:00:00,3.74,35.7,8.48,10.4,17.0,,,,,,,,
125,14:00:00,2025-07-19,2025,7,19,14,2025-07-19 14,2025-07-19 14:00:00,3.89,43.962,8.63,2.5,3.5,,,,,,,,
126,15:00:00,2025-07-19,2025,7,19,15,2025-07-19 15,2025-07-19 15:00:00,3.83,40.614,8.57,2.3,3.0,,,,,,,,
127,16:00:00,2025-07-19,2025,7,19,16,2025-07-19 16,2025-07-19 16:00:00,3.77,37.323,8.51,2.2,2.0,,,,,,,,
128,17:00:00,2025-07-19,2025,7,19,17,2025-07-19 17,2025-07-19 17:00:00,3.73,35.162,8.47,1.7,4.5,,,,,,,,
129,18:00:00,2025-07-19,2025,7,19,18,2025-07-19 18,2025-07-19 18:00:00,3.71,34.092,8.45,0.0,0.5,,,,,,,,
130,19:00:00,2025-07-19,2025,7,19,19,2025-07-19 19,2025-07-19 19:00:00,3.66,31.448,8.4,,0.0,,,,,,,,
131,20:00:00,2025-07-19,2025,7,19,20,2025-07-19 20,2025-07-19 20:00:00,3.61,28.85,8.35,,0.0,,,,,,,,
132,21:00:00,2025-07-19,2025,7,19,21,2025-07-19 21,2025-07-19 21:00:00,3.57,26.807,8.31,0.2,0.0,,,,,,,,
133,22:00:00,2025-07-19,2025,7,19,22,2025-07-19 22,2025-07-19 22:00:00,3.53,24.795,8.27,0.0,0.0,,,,,,,,
134,23:00:00,2025-07-19,2025,7,19,23,2025-07-19 23,2025-07-19 23:00:00,3.5,23.309,8.24,,0.5,,,,,,,,
135,00:00:00,2025-07-20,2025,7,20,0,2025-07-20 00,2025-07-20 00:00:00,3.47,21.842,8.21,,0.0,,,,,,,,
136,01:00:00,2025-07-20,2025,7,20,1,2025-07-20 01,2025-07-20 01:00:00,3.45,20.876,8.19,,0.0,,,,,,,,
137,02:00:00,2025-07-20,2025,7,20,2,2025-07-20 02,2025-07-20 02:00:00,3.43,19.919,8.17,,0.0,,,,,,,,
138,03:00:00,2025-07-20,2025,7,20,3,2025-07-20 03,2025-07-20 03:00:00,3.42,19.444,8.16,,0.0,,,,,,,,
139,04:00:00,2025-07-20,2025,7,20,4,2025-07-20 04,2025-07-20 04:00:00,3.4,18.501,8.14,,0.0,,,,,,,,
140,05:00:00,2025-07-20,2025,7,20,5,2025-07-20 05,2025-07-20 05:00:00,3.38,17.569,8.12,,0.0,,,,,,,,
141,06:00:00,2025-07-20,2025,7,20,6,2025-07-20 06,2025-07-20 06:00:00,3.37,17.106,8.11,,0.0,,,,,,,,
142,07:00:00,2025-07-20,2025,7,20,7,2025-07-20 07,2025-07-20 07:00:00,3.35,16.189,8.09,,0.0,,,,,,,,
143,08:00:00,2025-07-20,2025,7,20,8,2025-07-20 08,2025-07-20 08:00:00,3.33,15.283,8.07,,0.0,,,,,,,,
144,09:00:00,2025-07-20,2025,7,20,9,2025-07-20 09,2025-07-20 09:00:00,3.32,14.834,8.06,,0.0,,,,,,,,
145,10:00:00,2025-07-20,2025,7,20,10,2025-07-20 10,2025-07-20 10:00:00,3.31,14.388,8.05,,0.0,,,,,,,,
146,11:00:00,2025-07-20,2025,7,20,11,2025-07-20 11,2025-07-20 11:00:00,3.3,13.945,8.04,,0.0,,,,,,,,
147,12:00:00,2025-07-20,2025,7,20,12,2025-07-20 12,2025-07-20 12:00:00,3.3,13.945,8.04,,0.0,,,,,,,,
148,13:00:00,2025-07-20,2025,7,20,13,2025-07-20 13,2025-07-20 13:00:00,3.29,13.505,8.03,,0.0,,,,,,,,
149,14:00:00,2025-07-20,2025,7,20,14,2025-07-20 14,2025-07-20 14:00:00,3.28,13.067,8.02,,0.0,,,,,,,,
150,15:00:00,2025-07-20,2025,7,20,15,2025-07-20 15,2025-07-20 15:00:00,3.27,12.633,8.01,,0.0,,,,,,,,
151,16:00:00,2025-07-20,2025,7,20,16,2025-07-20 16,2025-07-20 16:00:00,3.26,12.202,8.0,,0.0,,,,,,,,
152,17:00:00,2025-07-20,2025,7,20,17,2025-07-20 17,2025-07-20 17:00:00,3.25,11.774,7.99,,0.0,,,,,,,,
153,18:00:00,2025-07-20,2025,7,20,18,2025-07-20 18,2025-07-20 18:00:00,3.23,10.929,7.97,,0.0,,,,,,,,
154,19:00:00,2025-07-20,2025,7,20,19,2025-07-20 19,2025-07-20 19:00:00,3.22,10.511,7.96,,0.0,,,,,,,,
155,20:00:00,2025-07-20,2025,7,20,20,2025-07-20 20,2025-07-20 20:00:00,3.21,10.096,7.95,,0.0,,,,,,,,
156,21:00:00,2025-07-20,2025,7,20,21,2025-07-20 21,2025-07-20 21:00:00,3.2,9.685,7.94,,0.0,,,,,,,,
157,22:00:00,2025-07-20,2025,7,20,22,2025-07-20 22,2025-07-20 22:00:00,3.19,9.278,7.93,,0.0,,,,,,,,
158,23:00:00,2025-07-20,2025,7,20,23,2025-07-20 23,2025-07-20 23:00:00,3.18,8.875,7.92,,0.0,,,,,,,,
159,00:00:00,2025-07-21,2025,7,21,0,2025-07-21 00,2025-07-21 00:00:00,3.18,8.875,7.92,,0.0,,,,,,,,
160,01:00:00,2025-07-21,2025,7,21,1,2025-07-21 01,2025-07-21 01:00:00,3.17,8.475,7.91,,0.0,,,,,,,,
161,02:00:00,2025-07-21,2025,7,21,2,2025-07-21 02,2025-07-21 02:00:00,3.17,8.475,7.91,,0.0,,,,,,,,
162,03:00:00,2025-07-21,2025,7,21,3,2025-07-21 03,2025-07-21 03:00:00,3.16,8.079,7.9,,0.0,,,,,,,,
163,04:00:00,2025-07-21,2025,7,21,4,2025-07-21 04,2025-07-21 04:00:00,3.15,7.688,7.89,,0.0,,,,,,,,
164,05:00:00,2025-07-21,2025,7,21,5,2025-07-21 05,2025-07-21 05:00:00,3.15,7.688,7.89,,0.0,,,,,,,,
165,06:00:00,2025-07-21,2025,7,21,6,2025-07-21 06,2025-07-21 06:00:00,3.14,7.3,7.88,,0.0,,,,,,,,
166,07:00:00,2025-07-21,2025,7,21,7,2025-07-21 07,2025-07-21 07:00:00,3.14,7.3,7.88,,0.0,,,,,,,,
167,08:00:00,2025-07-21,2025,7,21,8,2025-07-21 08,2025-07-21 08:00:00,3.14,7.3,7.88,,0.0,,,,,,,,
168,09:00:00,2025-07-21,2025,7,21,9,2025-07-21 09,2025-07-21 09:00:00,3.14,7.3,7.88,,0.0,,,,,,,,
169,10:00:00,2025-07-21,2025,7,21,10,2025-07-21 10,2025-07-21 10:00:00,3.14,7.3,7.88,,0.0,,,,,,,,
170,11:00:00,2025-07-21,2025,7,21,11,2025-07-21 11,2025-07-21 11:00:00,3.15,7.688,7.89,,0.0,,,,,,,,
171,12:00:00,2025-07-21,2025,7,21,12,2025-07-21 12,2025-07-21 12:00:00,3.14,7.3,7.88,,0.0,,,,,,,,
172,13:00:00,2025-07-21,2025,7,21,13,2025-07-21 13,2025-07-21 13:00:00,3.14,7.3,7.88,,0.0,,,,,,,,
173,14:00:00,2025-07-21,2025,7,21,14,2025-07-21 14,2025-07-21 14:00:00,3.13,6.917,7.87,2.5,0.0,,,,,,,,
174,15:00:00,2025-07-21,2025,7,21,15,2025-07-21 15,2025-07-21 15:00:00,3.13,6.917,7.87,,0.5,,,,,,,,
175,16:00:00,2025-07-21,2025,7,21,16,2025-07-21 16,2025-07-21 16:00:00,3.13,6.917,7.87,,0.0,,,,,,,,
176,17:00:00,2025-07-21,2025,7,21,17,2025-07-21 17,2025-07-21 17:00:00,3.12,6.538,7.86,,0.0,,,,,,,,
177,18:00:00,2025-07-21,2025,7,21,18,2025-07-21 18,2025-07-21 18:00:00,3.11,6.164,7.85,,0.0,,,,,,,,
178,19:00:00,2025-07-21,2025,7,21,19,2025-07-21 19,2025-07-21 19:00:00,3.1,5.794,7.84,,0.0,,,,,,,,
179,20:00:00,2025-07-21,2025,7,21,20,2025-07-21 20,2025-07-21 20:00:00,3.1,5.794,7.84,,0.0,,,,,,,,
180,21:00:00,2025-07-21,2025,7,21,21,2025-07-21 21,2025-07-21 21:00:00,3.09,5.43,7.83,,0.0,,,,,,,,
181,22:00:00,2025-07-21,2025,7,21,22,2025-07-21 22,2025-07-21 22:00:00,3.08,5.07,7.82,,0.0,,,,,,,,
182,23:00:00,2025-07-21,2025,7,21,23,2025-07-21 23,2025-07-21 23:00:00,3.08,5.07,7.82,,0.0,,,,,,,,
183,00:00:00,2025-07-22,2025,7,22,0,2025-07-22 00,2025-07-22 00:00:00,3.08,5.07,7.82,,0.0,,,,,,,,
184,01:00:00,2025-07-22,2025,7,22,1,2025-07-22 01,2025-07-22 01:00:00,3.08,5.07,7.82,,0.0,,,,,,,,
185,02:00:00,2025-07-22,2025,7,22,2,2025-07-22 02,2025-07-22 02:00:00,3.07,4.716,7.81,,0.0,,,,,,,,
186,03:00:00,2025-07-22,2025,7,22,3,2025-07-22 03,2025-07-22 03:00:00,3.07,4.716,7.81,,0.0,,,,,,,,
187,04:00:00,2025-07-22,2025,7,22,4,2025-07-22 04,2025-07-22 04:00:00,3.07,4.716,7.81,,0.0,,,,,,,,
188,05:00:00,2025-07-22,2025,7,22,5,2025-07-22 05,2025-07-22 05:00:00,3.07,4.716,7.81,,0.0,,,,,,,,
189,06:00:00,2025-07-22,2025,7,22,6,2025-07-22 06,2025-07-22 06:00:00,3.07,4.716,7.81,,0.0,,,,,,,,
190,07:00:00,2025-07-22,2025,7,22,7,2025-07-22 07,2025-07-22 07:00:00,3.07,4.716,7.81,,0.0,,,,,,,,
191,08:00:00,2025-07-22,2025,7,22,8,2025-07-22 08,2025-07-22 08:00:00,3.07,4.716,7.81,,0.0,,,,,,,,
